request_id,amount_safe_to_pay,affordability_status,recommended_payment_method,payment_plan,earliest_date_for_full_payment,spending_changes_needed,decision_explanation
request_26,15656000.0,affordable_now,full_payment,2025-08-03:15656000,2025-08-03,none,"Pay IDR 15,656,000 in full on 2025-08-03. This keeps at least IDR 24,768,300 available through the 90-day forecast. Client submitted an invoice approved for settlement 2025-08-15 (InvoiceFlow); not yet settled at message time, so not counted as confirmed cash."
request_27,6670.0,affordable_now,full_payment,2026-07-05:6670,2026-07-05,none,"Pay ZAR 6,670 in full on 2026-07-05. This keeps at least ZAR 20,500 available through the 90-day forecast."
request_28,263.91,not_affordable,not_recommended,none,,none,"Not recommended right now: only EUR 263.91 can be paid without dropping below the EUR 1,100 you want to keep. Committed expenses over the next 90 days use up the remaining headroom, so no full, partial or installment plan stays safe by 2024-08-15. Message confirms the EUR 653.40 one-time arrears adjustment (already recorded as event_2508) is a one-off, separate from the EUR 1452 regular salary."
request_29,51524.0,affordable_now,full_payment,2025-11-04:51524,2025-11-04,none,"Pay ZAR 51,524 in full on 2025-11-04. This keeps at least ZAR 28,300 available through the 90-day forecast. Seasonal contract with Riverline Retail ended after the 2025-08-15 payment; no off-season income or renewal confirmed as of 2025-10-27."
request_30,775.2,affordable_with_plan,installments,2026-04-06:268.74|2026-05-06:268.74|2026-06-05:268.74,2026-04-06,none,"Use 3 installments of USD 268.74 starting 2026-04-06, totaling USD 806.22. This keeps the balance at or above USD 900 at every step."
request_31,3280521.64,affordable_later,wait,2024-11-15:18164000,2024-11-15,none,"Wait and pay the full IDR 18,164,000 on 2024-11-15, once the balance can safely absorb it."
request_32,11475.56,affordable_with_plan,wait,2025-04-15:40018,,reduce_to:event_2929:1181.40|stop:event_2863,"Wait and pay the full ZAR 40,018 on 2025-04-15, once the balance can safely absorb it. This requires reducing dining to its minimum; stopping delivery_membership to free up enough cash. First salary of ZAR 54120 confirmed for 2025-02-15, consistent with the existing payroll pattern."
request_33,40525.76,affordable_with_plan,wait,2026-03-15:118000,,reduce_to:event_2968:2240,"Wait and pay the full INR 118,000 on 2026-03-15, once the balance can safely absorb it. This requires reducing shopping to its minimum to free up enough cash. Bank confirmed a matching debit and credit on the account were an internal transfer between the user's own two accounts, not new external cash flow."
request_34,129400.0,affordable_now,full_payment,2024-12-04:129400,2024-12-04,none,"Pay INR 129,400 in full on 2024-12-04. This keeps at least INR 138,500 available through the 90-day forecast. Client submitted an invoice approved for settlement 2024-12-15 (InvoiceLane); not yet settled at message time, so not counted as confirmed cash."
request_35,23270.79,affordable_later,wait,2026-01-15:212000,2026-01-15,none,"Wait and pay the full INR 212,000 on 2026-01-15, once the balance can safely absorb it. Restaurant tax invoice (event_3231) grand total is INR 8528. Separate refund for event_3230 was only initiated as of 2025-10-20 and had not reached the account; do not count until settled."
request_36,530.14,affordable_later,wait,2026-09-15:3954,2026-09-15,none,"Wait and pay the full USD 3,954 on 2026-09-15, once the balance can safely absorb it. Confirmed salary raised to USD 2988 effective 2026-07-15 (from USD 2330.64)."
request_37,2209979.27,not_affordable,not_recommended,none,,none,"Not recommended right now: only IDR 2,209,979.27 can be paid without dropping below the IDR 17,056,200 you want to keep. Committed expenses over the next 90 days use up the remaining headroom, so no full, partial or installment plan stays safe by 2024-05-15. Regular salary of IDR 21090000 continues; the one-time arrears adjustment of IDR 9490500 is already reflected as event_3336."
